# CLEAR
#BLOCK HEADER time:0
#x	y	id	phi

3.45	0.65	-0.215933	1
3.55	0.65	-0.225441	1
3.65	0.65	-0.23566	1
3.75	0.65	-0.246542	1
3.85	0.65	-0.258039	1
3.95	0.65	-0.270106	1
4.05	0.65	-0.282701	1
4.15	0.65	-0.295782	1
4.25	0.65	-0.309313	1
4.35	0.65	-0.323259	1
4.45	0.65	-0.337587	1
4.55	0.65	-0.352268	1
4.65	0.65	-0.367274	1
4.75	0.65	-0.38258	1
4.85	0.65	-0.398164	1
4.95	0.65	-0.414003	1
0.05	0.75	-0.402163	1
0.15	0.75	-0.386003	1
0.25	0.75	-0.370088	1
0.35	0.75	-0.354437	1
0.45	0.75	-0.339073	1
0.55	0.75	-0.324023	1
0.65	0.75	-0.309313	1
0.75	0.75	-0.294975	1
0.85	0.75	-0.28104	1
0.95	0.75	-0.267547	1
1.05	0.75	-0.254533	1
1.15	0.75	-0.242041	1
